Library,Line,Cohort,Chrom,Inv,Sample_Ind_N,Inv_F,Std_F,N_Inv,N_Std,N_Recomb,N_Mismap,N_Multmap
192laf3L,192,Late ♀,3L,Ok,272,0.03709265096423519,0.9629073490357648,2989,77593,0,134,0
192laf3R,192,Late ♀,3R,K,272,0.1745204835100351,0.8254795164899649,374733,1772482,0,4173,0
251laf2L,251,Late ♀,2L,t,234,0.31584679376992825,0.6841532062300717,24071,52140,0,61,0
251laf2R,251,Late ♀,2R,NS,234,0.3354167883638063,0.6645832116361937,74646,147901,0,102,0
251laf3L,251,Late ♀,3L,Ok,234,0.0907122901367551,0.9092877098632449,17306,173473,0,298,0
251laf3R,251,Late ♀,3R,K,234,0.35096755795767964,0.6490324420423204,78768,145663,0,1046,0
254laf2L,254,Late ♀,2L,t,273,0.31767953038591157,0.6823204696140884,31767,68230,0,75,0
254laf2R,254,Late ♀,2R,NS,273,0.34044339939536444,0.6595566006046356,46621,90321,0,162,0
254laf3L,254,Late ♀,3L,Ok,273,0.04192063359859469,0.9580793664014053,11073,253069,0,231,0
254laf3R,254,Late ♀,3R,K,273,0.21435,0.78565,55731,204269,0,788,0
418laf2L,418,Late ♀,2L,t,153,0.2869077552344646,0.7130922447655355,24761,61542,0,92,0
418laf2R,418,Late ♀,2R,NS,153,0.2507596397429857,0.7492403602570143,36724,109727,0,67,0
418laf3L,418,Late ♀,3L,Ok,153,0.016611831631678377,0.9833881683683217,3913,231642,0,204,0
418laf3R,418,Late ♀,3R,K,153,0.25349669798440516,0.7465033020155949,50131,147627,0,508,0
192eam2L,192,Early ♂,2L,t,237,0.3275513640956551,0.6724486359043449,7780,15972,0,30,0
192eam2R,192,Early ♂,2R,NS,237,0.16672243435814668,0.8332775656418533,33882,169342,0,98,0
192eam3L,192,Early ♂,3L,Ok,237,0.03057597300879624,0.9694240269912038,1015,32181,0,57,0
192eam3R,192,Early ♂,3R,K,237,0.13553107636645562,0.8644689236335443,67128,428168,0,1079,0
251eam2L,251,Early ♂,2L,t,290,0.30520045119142736,0.6947995488085726,25975,59133,0,53,0
251eam2R,251,Early ♂,2R,NS,290,0.2642406750739862,0.7357593249260138,79287,220769,0,145,0
251eam3L,251,Early ♂,3L,Ok,290,0.1340264528021214,0.8659735471978787,24867,160671,0,279,0
251eam3R,251,Early ♂,3R,K,290,0.3170527072783388,0.6829472927216612,63486,136752,0,668,0
254eam2L,254,Early ♂,2L,t,1065,0.27809545377342465,0.7219045462265754,63856,165763,0,246,0
254eam2R,254,Early ♂,2R,NS,1065,0.2568189671108568,0.7431810328891433,859956,2488535,0,3440,0
254eam3L,254,Early ♂,3L,Ok,1065,0.07442006901451503,0.925579930985485,89350,1111267,0,1582,0
254eam3R,254,Early ♂,3R,K,1065,0.2089878035213453,0.7910121964786547,178462,675473,0,2679,0
418eam2L,418,Early ♂,2L,t,261,0.30526726927798237,0.6947327307220177,21884,49804,0,48,0
418eam2R,418,Early ♂,2R,NS,261,0.18524008766686592,0.814759912333134,46486,204464,0,115,0
418eam3L,418,Early ♂,3L,Ok,261,0.026293492995933122,0.9737065070040669,3724,137908,0,203,0
418eam3R,418,Early ♂,3R,K,261,0.19777391304347827,0.8022260869565218,28430,115320,0,412,0
192lam2L,192,Late ♂,2L,t,275,0.32266243306004455,0.6773375669399555,40851,85755,0,61,0
192lam2R,192,Late ♂,2R,NS,275,0.1523903114120341,0.8476096885879659,63425,352776,0,209,0
192lam3L,192,Late ♂,3L,Ok,275,0.05054632784700305,0.9494536721529969,16080,302044,0,258,0
192lam3R,192,Late ♂,3R,K,275,0.1632420517801771,0.8367579482198229,235953,1209465,0,3341,0
251lam2L,251,Late ♂,2L,t,223,0.2929059941713164,0.7070940058286836,40001,96565,0,94,0
251lam2R,251,Late ♂,2R,NS,223,0.2796926076733383,0.7203073923266616,48770,125600,0,169,0
251lam3L,251,Late ♂,3L,Ok,223,0.1276618118723382,0.8723381881276618,24280,165910,0,299,0
251lam3R,251,Late ♂,3R,K,223,0.3056884144353673,0.6943115855646327,62826,142697,0,732,0
254lam2L,254,Late ♂,2L,t,567,0.24360389530747908,0.7563961046925209,139034,431704,0,464,0
254lam2R,254,Late ♂,2R,NS,567,0.23337889111170607,0.7666211088882939,298995,982162,0,881,0
254lam3L,254,Late ♂,3L,Ok,567,0.05164132572811947,0.9483586742718806,88056,1617090,0,1881,0
254lam3R,254,Late ♂,3R,K,567,0.23740698354994855,0.7625930164500514,226741,728332,0,3807,0
418lam2L,418,Late ♂,2L,t,475,0.2808613121275425,0.7191386878724575,73004,186925,0,104,0
418lam2R,418,Late ♂,2R,NS,475,0.23182154767502824,0.7681784523249717,85780,284246,0,176,0
418lam3L,418,Late ♂,3L,Ok,475,0.01604457926668425,0.9839554207333158,2433,149207,0,306,0
418lam3R,418,Late ♂,3R,K,475,0.19272630573888572,0.8072736942611143,92043,385541,0,1163,0
